Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-07-14,1,84,61,73.0,55,62,0,8,0.0,29.08,29.79,8.3,26,13.2
2007-07-15,1,82,60,71.0,53,61,0,6,0.0,29.19,29.89,2.1,29,4.9
2007-07-16,1,82,65,74.0,60,65,0,9,0.39,29.25,29.96,4.4,24,5.2
2007-07-17,1,83,68,76.0,66,69,0,11,0.11,29.18,29.9,5.2,23,6.5
2007-07-18,1,85,69,77.0,68,71,0,12,1.55,29.11,29.84,9.1,24,10.1
2007-07-19,1,83,63,73.0,63,66,0,8,0.16,29.21,29.9,7.0,1,11.9
2007-07-20,1,75,58,67.0,53,59,0,2,0.0,29.44,30.14,8.6,3,9.1
2007-07-21,1,74,58,66.0,52,58,0,1,0.0,29.51,30.22,6.5,3,7.4
2007-07-22,1,81,58,70.0,55,61,0,5,0.0,29.49,30.21,1.7,16,3.3
2007-07-23,1,83,60,72.0,55,63,0,7,0.0,29.37,30.1,3.2,9,4.0
2007-07-24,1,82,65,74.0,58,64,0,9,0.0,29.32,30.04,3.1,20,5.2
2007-07-25,1,85,71,78.0,61,67,0,13,0.0,29.29,30.0,5.8,25,6.6
2007-07-26,1,83,66,75.0,65,68,0,10,0.19,29.19,29.92,7.2,22,9.4
2007-07-27,1,83,70,77.0,68,70,0,12,0.17,29.11,29.82,3.0,3,7.9
2007-07-28,1,80,66,73.0,65,68,0,8,0.0,29.23,29.93,10.0,3,10.2
2007-07-29,1,85,63,74.0,57,64,0,9,0.0,29.28,29.99,4.8,5,5.7
2007-07-30,1,89,62,76.0,55,64,0,11,0.0,29.33,30.03,3.8,6,4.3
2007-07-31,1,91,68,80.0,61,68,0,15,0.0,29.33,30.04,3.3,4,4.9
2007-08-01,1,92,69,81.0,62,69,0,16,0.0,29.29,30.0,3.5,9,4.1
2007-08-02,1,91,70,81.0,66,71,0,16,0.0,29.26,29.97,5.5,26,5.9
2007-08-03,1,90,69,80.0,56,66,0,15,0.0,29.31,30.02,2.7,3,5.7
2007-08-04,1,81,64,73.0,58,64,0,8,0.03,29.31,30.03,5.7,8,6.1
2007-08-05,1,88,67,78.0,71,73,0,13,1.43,29.08,29.81,5.4,21,9.6
2007-08-06,1,88,74,81.0,72,74,0,16,0.26,29.13,29.83,1.6,10,4.9
2007-08-07,1,91,72,82.0,73,76,0,17,1.31,29.06,29.76,6.2,25,9.0
2007-08-08,1,87,73,80.0,71,73,0,15,0.06,29.13,29.83,3.0,3,6.9
2007-08-09,1,84,72,78.0,71,73,0,13,0.05,29.13,29.84,2.5,29,6.0
2007-08-10,1,86,70,78.0,68,72,0,13,0.0,29.26,29.96,4.5,2,5.9
2007-08-11,1,89,67,78.0,65,70,0,13,0.0,29.31,30.02,3.2,19,3.9
2007-08-12,1,88,67,78.0,67,71,0,13,0.29,29.34,30.06,1.7,6,5.4
2007-08-13,1,81,65,73.0,57,64,0,8,0.0,29.39,30.11,6.2,6,6.9
2007-08-14,1,84,65,75.0,67,70,0,10,0.41,29.23,29.93,5.9,25,8.0
2007-08-15,1,80,71,76.0,67,70,0,11,0.23,29.17,29.89,3.4,7,5.8
2007-08-16,1,77,65,71.0,64,67,0,6,0.0,29.28,29.97,3.6,1,5.7
2007-08-17,1,79,60,70.0,54,61,0,5,0.0,29.41,30.1,5.9,32,6.8
2007-08-18,1,68,59,64.0,54,58,1,0,0.09,29.44,30.16,6.4,12,8.1
2007-08-19,1,68,62,65.0,62,64,0,0,1.33,29.24,29.99,6.0,10,7.4
2007-08-20,1,78,68,73.0,68,69,0,8,0.91,29.15,29.87,0.5,12,5.7
2007-08-21,1,87,69,78.0,70,72,0,13,0.0,29.21,29.91,3.8,18,6.0
2007-08-22,1,90,69,80.0,71,73,0,15,0.37,29.23,29.94,5.3,21,9.5
2007-08-23,1,87,69,78.0,69,71,0,13,2.35,29.15,29.87,9.6,21,11.7
2007-08-24,1,80,69,75.0,67,69,0,10,0.24,29.11,29.82,5.8,25,7.1
2007-08-25,1,79,64,72.0,63,66,0,7,0.34,29.23,29.93,3.0,36,5.6
2007-08-26,1,79,60,70.0,55,61,0,5,0.0,29.38,30.08,3.6,11,5.4
2007-08-27,1,79,60,70.0,60,64,0,5,0.0,29.36,30.07,6.5,17,7.4
2007-08-28,1,91,67,79.0,66,70,0,14,0.0,29.28,29.99,9.0,20,9.5
2007-08-29,1,85,68,77.0,65,69,0,12,0.0,29.34,30.04,5.6,3,8.2
2007-08-30,1,75,57,66.0,54,60,0,1,0.0,29.47,30.18,9.1,2,9.9
2007-08-31,1,77,57,67.0,52,59,0,2,0.0,29.47,30.19,3.9,4,5.2
2007-09-01,1,81,57,69.0,55,61,0,4,0.0,29.49,30.22,4.2,11,5.0
2007-09-02,1,85,61,73.0,57,63,0,8,0.0,29.41,30.15,4.2,21,5.0
2007-09-03,1,88,66,77.0,61,67,0,12,0.0,29.36,30.09,2.0,27,5.8
2007-09-04,1,89,63,76.0,60,66,0,11,0.0,29.28,30.0,2.8,22,4.3
2007-09-05,1,90,66,78.0,63,69,0,13,0.0,29.24,29.96,6.4,19,6.5
2007-09-06,1,82,73,78.0,67,70,0,13,0.18,29.21,29.92,11.9,20,12.1
2007-09-07,1,84,70,77.0,68,70,0,12,0.19,29.15,29.85,10.4,23,13.9
2007-09-08,1,78,64,71.0,57,63,0,6,0.0,29.3,30.0,6.0,5,7.2
2007-09-09,1,80,63,72.0,59,63,0,7,0.0,29.36,30.06,9.2,3,9.9
2007-09-10,1,74,54,64.0,58,60,1,0,0.36,29.3,30.04,7.2,2,9.0
2007-09-11,1,71,50,61.0,44,52,4,0,0.0,29.2,29.92,11.7,29,13.5
2007-09-12,1,67,46,57.0,42,49,8,0,0.0,29.4,30.12,1.8,3,5.6
2007-09-13,1,78,50,64.0,45,54,1,0,0.0,29.23,29.99,8.3,19,8.5
2007-09-14,1,66,45,56.0,39,48,9,0,0.0,29.36,30.05,12.1,32,13.4
2007-09-15,1,61,39,50.0,33,43,15,0,0.0,29.56,30.28,1.4,33,5.9
2007-09-16,1,71,44,58.0,40,49,7,0,0.0,29.46,30.19,6.8,18,7.4
2007-09-17,1,80,52,66.0,49,57,0,1,0.0,29.39,30.12,11.7,17,12.1
2007-09-18,1,88,63,76.0,58,65,0,11,0.0,29.34,30.06,12.9,19,13.1
2007-09-19,1,84,65,75.0,59,65,0,10,0.0,29.41,30.11,5.0,26,9.7
2007-09-20,1,78,60,69.0,59,63,0,4,0.0,29.39,30.12,5.3,7,6.6
2007-09-21,1,88,64,76.0,59,66,0,11,0.0,29.18,29.9,10.3,21,12.4
2007-09-22,1,74,51,63.0,43,53,2,0,0.0,29.42,30.12,2.6,3,6.8
2007-09-23,1,84,50,67.0,50,58,0,2,0.0,29.43,30.16,4.6,13,5.3
2007-09-24,1,90,68,79.0,63,68,0,14,0.0,29.27,29.99,11.4,19,11.9
2007-09-25,1,85,63,74.0,65,69,0,9,0.27,29.23,29.95,7.9,23,10.5
2007-09-26,1,69,53,61.0,50,55,4,0,0.09,29.31,30.03,4.3,1,6.6
2007-09-27,1,75,49,62.0,49,55,3,0,0.0,29.26,29.97,4.9,24,6.5
2007-09-28,1,73,53,63.0,46,53,2,0,0.0,29.47,30.17,2.3,4,7.1
2007-09-29,1,80,50,65.0,46,55,0,0,0.0,29.5,30.23,9.5,17,9.8
2007-09-30,1,83,59,71.0,49,59,0,6,0.14,29.36,30.1,14.4,19,14.6
2007-10-01,1,69,59,64.0,59,61,1,0,0.29,29.28,30.0,6.1,22,8.1
2007-10-02,1,78,57,68.0,59,63,0,3,0.09,29.18,29.92,10.8,19,11.1
2007-10-03,1,74,55,65.0,48,56,0,0,0.0,29.28,29.98,5.9,26,7.1
2007-10-04,1,82,51,67.0,56,61,0,2,0.0,29.34,30.04,3.9,17,4.6
2007-10-05,1,84,62,73.0,65,68,0,8,0.0,29.36,30.08,7.0,17,7.0
2007-10-06,1,87,69,78.0,67,70,0,13,0.0,29.33,30.04,6.9,20,7.4
2007-10-07,1,87,67,77.0,66,70,0,12,0.0,29.31,30.03,5.2,19,5.9
2007-10-08,1,87,60,74.0,61,66,0,9,0.0,29.23,29.93,7.7,24,10.1
2007-10-09,1,76,49,63.0,44,53,2,0,0.0,29.21,29.94,11.5,28,12.8
2007-10-10,1,54,47,51.0,38,44,14,0,0.0,29.21,29.93,15.1,31,15.5
2007-10-11,1,54,46,50.0,39,45,15,0,0.0,29.28,30.01,11.9,36,12.9
2007-10-12,1,56,41,49.0,35,43,16,0,0.0,29.28,30.02,3.4,35,4.6
2007-10-13,1,59,40,50.0,41,47,15,0,0.0,29.31,30.04,2.7,20,3.5
2007-10-14,1,61,53,57.0,49,53,8,0,0.15,29.34,30.06,5.6,11,6.6
2007-10-15,1,74,51,63.0,52,57,2,0,0.07,29.21,29.95,4.1,14,5.6
2007-10-16,1,67,52,60.0,54,57,5,0,0.24,29.16,29.88,6.4,21,7.5
2007-10-17,1,72,47,60.0,53,57,5,0,0.04,29.07,29.83,9.3,14,9.8
2007-10-18,1,78,59,69.0,56,61,0,4,0.3,28.59,29.34,17.2,19,18.9
2007-10-19,1,60,52,56.0,48,52,9,0,0.01,28.75,29.44,16.2,24,16.7
2007-10-20,1,73,47,60.0,43,52,5,0,0.0,29.02,29.71,10.9,21,12.0
2007-10-21,1,80,60,70.0,47,57,0,5,0.0,29.08,29.78,18.0,20,18.2
2007-10-22,1,67,46,57.0,47,50,8,0,0.16,29.26,29.97,5.2,36,9.2
2007-10-23,1,58,43,51.0,36,44,14,0,0.0,29.2,29.93,5.2,31,8.2
2007-10-24,1,55,43,49.0,35,42,16,0,0.0,29.46,30.16,13.3,2,14.5
2007-10-25,1,55,45,50.0,39,46,15,0,0.0,29.47,30.2,13.9,6,14.1
2007-10-26,1,65,53,59.0,48,52,6,0,0.33,29.31,30.07,6.2,5,6.9
2007-10-27,1,55,37,46.0,38,45,19,0,0.01,29.56,30.25,9.4,32,9.9
2007-10-28,1,56,34,45.0,30,39,20,0,0.0,29.79,30.52,3.4,23,4.2
2007-10-29,1,61,39,50.0,32,42,15,0,0.0,29.63,30.4,10.2,22,10.4
2007-10-30,1,66,41,54.0,38,46,11,0,0.0,29.43,30.2,12.2,20,12.5
2007-10-31,1,62,41,52.0,37,46,13,0,0.0,29.3,30.02,12.2,25,14.3
2008-05-01,1,74,48,61.0,51,56,4,0,0.0,28.95,29.67,10.6,16,11.5
2008-05-02,1,74,51,63.0,55,58,2,0,1.28,28.79,29.53,13.8,20,15.1
2008-05-03,1,56,43,50.0,41,46,15,0,0.0,29.01,29.69,10.4,25,12.7
2008-05-04,1,65,38,52.0,34,45,13,0,0.0,29.31,30.02,5.6,24,6.3
2008-05-05,1,75,50,63.0,38,50,2,0,0.0,29.27,29.99,4.4,26,7.0
2008-05-06,1,81,46,64.0,44,55,1,0,0.0,29.16,29.88,6.3,22,7.1
2008-05-07,1,70,49,60.0,52,56,5,0,0.76,28.97,29.69,3.5,23,12.3
2008-05-08,1,59,45,52.0,35,44,13,0,0.0,29.08,29.82,12.2,5,12.6
2008-05-09,1,58,41,50.0,34,43,15,0,0.0,29.15,29.85,6.3,3,6.9
2008-05-10,1,61,38,50.0,37,45,15,0,0.0,29.08,29.85,5.9,7,6.3
2008-05-11,1,58,46,52.0,43,47,13,0,0.95,28.85,29.55,14.5,2,17.7
2008-05-12,1,56,40,48.0,38,43,17,0,0.0,29.26,29.96,5.1,7,7.8
2008-05-13,1,73,40,57.0,45,51,8,0,0.08,29.2,29.93,15.5,18,15.9
2008-05-14,1,64,45,55.0,48,52,10,0,0.02,29.19,29.89,2.0,25,9.6
2008-05-15,1,57,43,50.0,37,45,15,0,0.0,29.33,30.05,6.8,5,7.9
2008-05-16,1,73,40,57.0,41,50,8,0,0.0,29.1,29.86,8.9,25,9.4
2008-05-17,1,73,52,63.0,41,52,2,0,0.12,28.87,29.61,12.9,30,14.7
2008-05-18,1,55,44,50.0,39,45,15,0,0.0,28.93,29.64,3.5,34,8.2
2008-05-19,1,60,40,50.0,33,43,15,0,0.0,28.96,29.69,3.9,7,5.7
2008-05-20,1,66,47,57.0,37,47,8,0,0.0,28.94,29.66,7.3,31,9.2
2008-05-21,1,66,41,54.0,36,46,11,0,0.0,29.0,29.7,7.2,32,9.2
2008-05-22,1,59,45,52.0,38,45,13,0,0.0,29.24,29.94,8.8,5,9.8
2008-05-23,1,57,46,52.0,39,45,13,0,0.0,29.41,30.12,10.7,3,10.9
2008-05-24,1,67,40,54.0,40,48,11,0,0.0,29.44,30.18,7.4,7,8.4
2008-05-25,1,78,44,61.0,50,57,4,0,0.0,29.18,29.93,10.3,18,11.9
2008-05-26,1,81,47,64.0,60,64,1,0,0.48,29.11,29.81,6.2,25,11.8
2008-05-27,1,50,42,46.0,35,42,19,0,0.0,29.5,30.19,19.2,3,19.3
2008-05-28,1,62,43,53.0,32,43,12,0,0.0,29.6,30.34,8.2,6,8.7
2008-05-29,1,67,42,55.0,37,47,10,0,0.01,29.39,30.16,3.5,11,4.2
2008-05-30,1,77,55,66.0,59,62,0,1,0.4,29.03,29.79,8.4,21,10.4
2008-05-31,1,79,59,69.0,56,62,0,4,0.0,29.1,29.8,10.8,28,11.9
2008-06-01,1,74,53,64.0,47,55,1,0,0.0,29.23,29.95,4.6,10,5.4
2008-06-02,1,86,56,71.0,52,60,0,6,0.0,29.16,29.89,1.9,8,4.8
2008-06-03,1,69,55,62.0,55,57,3,0,0.52,28.97,29.69,7.3,4,9.2
2008-06-04,1,78,54,66.0,59,61,0,1,0.0,28.9,29.62,4.5,4,5.2
2008-06-05,1,87,60,74.0,68,71,0,9,0.64,29.0,29.7,11.5,20,14.0
2008-06-06,1,87,73,80.0,68,72,0,15,0.0,29.07,29.76,21.1,20,21.5
2008-06-07,1,85,69,77.0,71,73,0,12,0.11,29.16,29.86,12.5,19,13.2
2008-06-08,1,85,64,75.0,68,70,0,10,1.24,29.11,29.81,6.5,18,12.2
2008-06-09,1,74,65,70.0,64,66,0,5,0.14,29.1,29.82,6.3,22,7.7
2008-06-10,1,79,59,69.0,56,61,0,4,0.0,29.18,29.89,8.8,25,9.6
2008-06-11,1,86,61,74.0,56,64,0,9,0.0,29.28,29.99,8.9,18,10.0
2008-06-12,1,91,73,82.0,63,69,0,17,0.0,29.2,29.9,16.1,18,16.3
2008-06-13,1,82,65,74.0,62,66,0,9,0.39,29.21,29.92,8.9,22,9.9
2008-06-14,1,84,59,72.0,53,61,0,7,0.0,29.23,29.94,8.3,24,8.8
2008-06-15,1,81,61,71.0,60,64,0,6,0.18,29.15,29.84,8.1,24,9.8
2008-06-16,1,72,59,66.0,49,57,0,1,0.0,29.2,29.91,10.7,31,11.2
2008-06-17,1,76,55,66.0,46,55,0,1,0.0,29.26,29.97,10.7,30,11.2
2008-06-18,1,77,56,67.0,48,56,0,2,0.0,29.21,29.92,4.8,3,7.3
2008-06-19,1,81,52,67.0,46,56,0,2,0.0,29.21,29.93,1.8,25,5.1
2008-06-20,1,82,58,70.0,53,60,0,5,0.09,29.25,29.96,6.7,22,7.9
2008-06-21,1,82,61,72.0,52,61,0,7,0.01,29.24,29.95,7.1,29,7.8
2008-06-22,1,82,57,70.0,52,59,0,5,0.16,29.18,29.89,2.9,31,5.1
2008-06-23,1,77,56,67.0,54,59,0,2,0.0,29.33,30.04,3.9,4,6.4
2008-06-24,1,82,55,69.0,53,60,0,4,0.0,29.44,30.15,5.1,18,5.8
2008-06-25,1,79,66,73.0,64,67,0,8,0.08,29.28,29.99,8.0,22,9.3
2008-06-26,1,86,70,78.0,66,70,0,13,0.0,29.15,29.86,6.3,26,7.3
2008-06-27,1,84,66,75.0,67,70,0,10,0.0,29.05,29.76,6.7,22,7.4
2008-06-28,1,83,64,74.0,55,63,0,9,0.04,28.98,29.69,12.1,25,13.2
2008-06-29,1,75,60,68.0,58,61,0,3,0.58,29.08,29.77,7.3,31,9.7
2008-06-30,1,80,59,70.0,50,58,0,5,0.0,29.28,29.98,6.0,34,9.6
2008-07-01,1,83,58,71.0,51,60,0,6,0.0,29.24,29.97,8.1,24,8.0
2008-07-02,1,87,63,75.0,62,66,0,10,0.2,29.09,29.79,8.7,23,13.2
2008-07-03,1,71,55,63.0,51,57,2,0,0.0,29.34,30.04,11.6,3,12.0
2008-07-04,1,76,52,64.0,50,57,1,0,0.0,29.35,30.06,6.0,5,6.6
2008-07-05,1,80,54,67.0,52,59,0,2,0.0,29.31,30.03,4.6,7,7.0
2008-07-06,1,87,59,73.0,57,65,0,8,0.0,29.21,29.94,9.3,19,9.4
2008-07-07,1,87,71,79.0,67,71,0,14,0.03,29.16,29.87,10.9,22,11.9
2008-07-08,1,85,70,78.0,67,71,0,13,0.03,29.1,29.81,7.8,26,9.1
2008-07-09,1,85,67,76.0,55,63,0,11,0.0,29.26,29.95,9.5,31,10.3
2008-07-10,1,82,64,73.0,63,66,0,8,0.72,29.26,29.99,8.5,23,9.2
2008-07-11,1,88,64,76.0,65,69,0,11,0.34,29.23,29.97,5.2,20,8.4
2008-07-12,1,81,65,73.0,63,66,0,8,0.73,29.19,29.89,7.7,26,10.3
2008-07-13,1,79,62,71.0,54,61,0,6,0.0,29.12,29.84,12.1,27,12.4
2008-07-14,1,84,62,73.0,54,62,0,8,0.0,29.22,29.92,4.5,29,7.8
2008-07-15,1,90,61,76.0,62,68,0,11,0.0,29.3,30.0,6.8,23,7.4
2008-07-16,1,90,71,81.0,66,70,0,16,0.0,29.39,30.09,5.0,23,7.2
2008-07-17,1,89,71,80.0,66,71,0,15,0.0,29.33,30.05,8.6,22,9.0
2008-07-18,1,86,74,80.0,68,72,0,15,0.04,29.24,29.95,2.6,22,5.4
2008-07-19,1,78,67,73.0,68,69,0,8,1.61,29.19,29.91,2.0,33,5.8
2008-07-20,1,86,68,77.0,68,71,0,12,0.74,29.2,29.91,4.5,25,5.7
2008-07-21,1,83,68,76.0,65,68,0,11,0.13,29.21,29.92,3.3,3,7.4
2008-07-22,1,77,63,70.0,59,64,0,5,0.0,29.31,30.0,8.2,3,8.7
2008-07-23,1,81,60,71.0,52,60,0,6,0.0,29.39,30.1,7.6,2,8.5
2008-07-24,1,82,59,71.0,53,61,0,6,0.0,29.33,30.05,3.9,24,4.4
2008-07-25,1,82,61,72.0,63,67,0,7,0.0,29.26,29.99,5.5,23,6.9
2008-07-26,1,84,65,75.0,58,65,0,10,0.0,29.22,29.94,8.5,31,9.1
2008-07-27,1,83,62,73.0,58,64,0,8,0.0,29.16,29.89,5.9,24,6.7
2008-07-28,1,85,66,76.0,63,67,0,11,0.0,29.16,29.87,4.0,7,6.1
2008-07-29,1,88,65,77.0,67,70,0,12,0.05,29.14,29.85,6.4,20,7.9
2008-07-30,1,89,72,81.0,65,70,0,16,0.0,29.04,29.75,7.8,27,8.6
2008-07-31,1,89,72,81.0,67,70,0,16,0.14,29.06,29.76,4.9,27,5.8
2008-08-01,1,89,68,79.0,68,72,0,14,1.05,29.09,29.79,3.1,31,5.7
2008-08-02,1,81,65,73.0,59,65,0,8,0.0,29.24,29.93,8.4,3,9.2
2008-08-03,1,84,61,73.0,61,66,0,8,0.0,29.24,29.96,5.3,18,6.0
2008-08-04,1,87,70,79.0,68,70,0,14,2.43,29.18,29.9,3.1,18,9.0
2008-08-05,1,87,69,78.0,67,71,0,13,0.0,29.24,29.93,6.2,31,7.4
2008-08-06,1,84,67,76.0,60,66,0,11,0.0,29.29,30.0,6.8,30,8.1
2008-08-07,1,82,64,73.0,56,63,0,8,0.0,29.26,29.98,7.8,34,9.4
2008-08-08,1,79,63,71.0,54,61,0,6,0.0,29.29,30.01,4.5,2,7.4
2008-08-09,1,80,62,71.0,58,62,0,6,0.0,29.2,29.92,2.6,31,9.0
2008-08-10,1,74,58,66.0,52,58,0,1,0.0,29.31,30.02,8.4,2,9.0
2008-08-11,1,77,59,68.0,57,61,0,3,0.0,29.3,30.02,3.9,5,6.3
2008-08-12,1,77,61,69.0,57,62,0,4,0.0,29.17,29.9,3.3,10,3.8
2008-08-13,1,79,66,73.0,59,63,0,8,0.06,29.11,29.84,3.0,7,4.6
2008-08-14,1,79,63,71.0,60,64,0,6,0.0,29.23,29.93,7.3,3,7.9
2008-08-15,1,78,61,70.0,54,61,0,5,0.0,29.44,30.13,6.9,3,7.9
2008-08-16,1,83,58,71.0,53,61,0,6,0.0,29.4,30.13,5.7,29,6.5
2008-08-17,1,84,63,74.0,60,65,0,9,0.0,29.28,30.01,7.9,26,8.0
2008-08-18,1,85,65,75.0,57,64,0,10,0.0,29.26,29.98,7.2,27,7.4
